# n_fm^-3 epsilon_MeVfm^-3 P_MeVfm^-3
8.066666666666666430e-02 7.623639633841639807e+01 4.856568596345159916e-01
8.133333333333332693e-02 7.687050694142568830e+01 4.963629348056639579e-01
8.200000000000000344e-02 7.750470571891750637e+01 5.071711882774063707e-01
8.266666666666666607e-02 7.813899277780588193e+01 5.180799020392299337e-01
8.333333333333332871e-02 7.877336820928275074e+01 5.290873229388106669e-01
8.400000000000000522e-02 7.940783208891778600e+01 5.401916634632469849e-01
8.466666666666666785e-02 8.004238447676083013e+01 5.513911025233672047e-01
8.533333333333333048e-02 8.067702541744691302e+01 5.626837862423830217e-01
8.600000000000000699e-02 8.131175494030458140e+01 5.740678287467207985e-01
8.666666666666666963e-02 8.194657305946681447e+01 5.855413129601244604e-01
8.733333333333333226e-02 8.258147977398516559e+01 5.971022914017659611e-01
8.799999999999999489e-02 8.321647506794526805e+01 6.087487869856952338e-01
8.866666666666667140e-02 8.385155891058637678e+01 6.204787938239706424e-01
8.933333333333333404e-02 8.448673125642265802e+01 6.322902780330925676e-01
8.999999999999999667e-02 8.512199204536682373e+01 6.441811785423395831e-01
9.066666666666667318e-02 8.575734120285618189e+01 6.561494079055393280e-01
9.133333333333333581e-02 8.639277863998097473e+01 6.681928531149465833e-01
9.199999999999999845e-02 8.702830425361499067e+01 6.803093764183417713e-01
9.266666666666667496e-02 8.766391792654862058e+01 6.924968161377387244e-01
9.333333333333333759e-02 8.829961952762289457e+01 7.047529874924041149e-01
9.400000000000000022e-02 8.893540891186701458e+01 7.170756834221349019e-01
9.466666666666666285e-02 8.957128592063682504e+01 7.294626754152035986e-01
9.533333333333333937e-02 9.020725038175542920e+01 7.419117143372109258e-01
9.600000000000000200e-02 9.084330210965617880e+01 7.544205312630616334e-01
9.666666666666666463e-02 9.147944090552657315e+01 7.669868383116407173e-01
9.733333333333334114e-02 9.211566655745501464e+01 7.796083294818285658e-01
9.800000000000000377e-02 9.275197884057831743e+01 7.922826814919362581e-01
9.866666666666666641e-02 9.338837751723137615e+01 8.050075546211697963e-01
9.933333333333332904e-02 9.402486233709868202e+01 8.177805935529485204e-01
1.000000000000000056e-01 9.466143303736676273e+01 8.305994282212523228e-01
1.006666666666666682e-01 9.529808934287932232e+01 8.434616746577950908e-01
1.013333333333333308e-01 9.593483096629240947e+01 8.563649358435887482e-01
1.020000000000000073e-01 9.657165760823238543e+01 8.693068025606974780e-01
1.026666666666666700e-01 9.720856895745484394e+01 8.822848542468040289e-01
1.033333333333333326e-01 9.784556469100486709e+01 8.952966598521855390e-01
1.039999999999999952e-01 9.848264447437875901e+01 9.083397786983054001e-01
1.046666666666666717e-01 9.911980796168720076e+01 9.214117613384500416e-01
1.053333333333333344e-01 9.975705479581972668e+01 9.345101504204618159e-01
1.059999999999999970e-01 1.003943846086107072e+02 9.476324815509151733e-01
1.066666666666666735e-01 1.010317970210058149e+02 9.607762841617477623e-01
1.073333333333333361e-01 1.016692916432308067e+02 9.739390823782394513e-01
1.079999999999999988e-01 1.023068680749607751e+02 9.871183958885521026e-01
1.086666666666666614e-01 1.029445259054910906e+02 1.000311740814928241e+00
1.093333333333333379e-01 1.035822647139087138e+02 1.013516630587141254e+00
1.100000000000000006e-01 1.042200840692657096e+02 1.026730576816015095e+00
1.106666666666666632e-01 1.048579835307533870e+02 1.039951090169314085e+00
1.113333333333333397e-01 1.054959626478766950e+02 1.053175681248730511e+00
1.120000000000000023e-01 1.061340209606313181e+02 1.066401861467952461e+00
1.126666666666666650e-01 1.067721579996803740e+02 1.079627143931530586e+00
1.133333333333333276e-01 1.074103732865332432e+02 1.092849044314694096e+00
1.140000000000000041e-01 1.080486663337240287e+02 1.106065081745005507e+00
1.146666666666666667e-01 1.086870366449924887e+02 1.119272779683011976e+00
1.153333333333333294e-01 1.093254837154650971e+02 1.132469666804350350e+00
1.160000000000000059e-01 1.099640070318364735e+02 1.145653277883399879e+00
1.166666666666666685e-01 1.106026060725531153e+02 1.158821154674840370e+00
