# n_fm^-3 Ebind_MeV Esym_MeV Psnm_MeVfm^-3 K_MeV L_MeV
1.911500000000000143e-01 -1.334767854637607343e+01 3.418004265669245711e+01 1.574472902188404078e+00 4.400823794548913952e+02 1.727478161739489337e+01
1.936250000000000193e-01 -1.323693206197197014e+01 3.424337244757229115e+01 1.739566426121513132e+00 4.506623538793866715e+02 1.219347105856340896e+01
1.961000000000000243e-01 -1.311800391132351251e+01 3.428395086713341300e+01 1.911317042997012550e+00 4.613208936340449782e+02 6.912612332882912547e+00
1.985750000000000293e-01 -1.299091066877417688e+01 3.430153568239767026e+01 2.089820581568858415e+00 4.720562805431381435e+02 1.443021194482841052e+00
2.010500000000000342e-01 -1.285566930294305621e+01 3.429594122327540617e+01 2.275171992091031825e+00 4.828667796543195436e+02 -4.203088367189788066e+00
2.035250000000000115e-01 -1.271229716192135584e+01 3.426704129888181427e+01 2.467465339759996823e+00 4.937506383958474316e+02 -1.001211956627273558e+01
2.060000000000000164e-01 -1.256081195949843732e+01 3.421477184710859376e+01 2.666793797897668128e+00 5.047060858283444986e+02 -1.596912245415078324e+01
2.084750000000000214e-01 -1.240123176233771574e+01 3.413913327922477947e+01 2.873249640880317202e+00 5.157313320256065481e+02 -2.205783827014025889e+01
2.109500000000000264e-01 -1.223357497804204286e+01 3.404019248197737113e+01 3.086924236830526524e+00 5.268245673330949330e+02 -2.826075876842552503e+01
2.134250000000000314e-01 -1.205786034405264218e+01 3.391808444315982740e+01 3.307908040083560763e+00 5.379839618716592895e+02 -3.455920057342294172e+01
2.159000000000000363e-01 -1.187410691732509349e+01 3.377301346852464548e+01 3.536290583445946822e+00 5.492076650101532778e+02 -4.093339441791237476e+01
2.183750000000000135e-01 -1.168233406472518254e+01 3.360525396243006924e+01 3.772160470258683063e+00 5.604938048198937395e+02 -4.736258873596310082e+01
2.208500000000000185e-01 -1.148256145410891804e+01 3.341515074882532588e+01 4.015605366285967648e+00 5.718404877933951411e+02 -5.382516694980137117e+01
2.233250000000000235e-01 -1.127480904602577994e+01 3.320311891390313974e+01 4.266711991443600027e+00 5.832457985245930558e+02 -6.029877747231010687e+01
2.258000000000000285e-01 -1.105909708601291186e+01 3.296964315751529995e+01 4.525566111388144463e+00 5.947077993320821179e+02 -6.676047513808522638e+01
2.282750000000000334e-01 -1.083544609743307774e+01 3.271527664650791678e+01 4.792252528983595994e+00 6.062245300927064591e+02 -7.318687262588072429e+01
2.307500000000000384e-01 -1.060387687482693764e+01 3.244063936895894074e+01 5.066855075666239827e+00 6.177940081707226909e+02 -7.955430018790133317e+01
2.332250000000000156e-01 -1.036441047773053015e+01 3.214641599511014647e+01 5.349456602728537291e+00 6.294142283459059399e+02 -8.583897172182687996e+01
2.357000000000000206e-01 -1.011706822493783875e+01 3.183335325751713896e+01 5.640138972542047213e+00 6.410831627659740661e+02 -9.201715519906238683e+01
2.381750000000000256e-01 -9.861871689161944232e+00 3.150225686876965625e+01 5.938983049738538966e+00 6.527987609978780483e+02 -9.806534527027201875e+01
2.406500000000000306e-01 -9.598842692081575478e+00 3.115398800215469777e+01 6.246068692375587261e+00 6.645589502790373899e+02 -1.039604357606523450e+02
2.431250000000000355e-01 -9.328003299724855424e+00 3.078945936615142642e+01 6.561474743101854301e+00 6.763616355876332591e+02 -1.096798898147082042e+02
2.456000000000000405e-01 -9.049375818179100861e+00 3.040963090932480029e+01 6.885279020349287293e+00 6.882047000431782635e+02 -1.152019054003247476e+02
